case:concept:name,concept_A_ACCEPTED,concept_A_ACTIVATED,concept_A_APPROVED,concept_A_CANCELLED,concept_A_DECLINED,concept_A_FINALIZED,concept_A_PARTLYSUBMITTED,concept_A_PREACCEPTED,concept_A_REGISTERED,concept_A_SUBMITTED,concept_O_ACCEPTED,concept_O_CANCELLED,concept_O_CREATED,concept_O_DECLINED,concept_O_SELECTED,concept_O_SENT,concept_O_SENT_BACK,concept_W_Afhandelen leads,concept_W_Beoordelen fraude,concept_W_Completeren aanvraag,concept_W_Nabellen incomplete dossiers,concept_W_Nabellen offertes,concept_W_Valideren aanvraag,concept_W_Wijzigen contractgegevens
173688,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,3,0,7,3,0
173691,1,1,1,0,0,1,1,1,1,1,1,1,2,0,2,2,1,0,0,5,0,10,7,0
173694,1,1,1,0,0,1,1,1,1,1,1,2,3,0,3,3,1,0,0,9,0,25,3,1
173697,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173700,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173703,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0
173706,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,3,0,7,0,0,0,0
173709,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0
173712,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,3,0,7,0,0,0,0
173715,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,5,0,5,3,0
173718,1,1,1,0,0,1,1,1,1,1,1,1,2,0,2,2,1,0,0,3,34,14,9,0
173721,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,3,9,9,3,0
173724,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,5,0,11,0,0,0,0
173727,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173730,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,9,21,17,16,0
173733,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
173736,1,1,1,0,0,1,1,1,1,1,1,2,3,0,3,3,2,0,0,7,14,6,6,0
173739,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,7,13,7,8,0
173742,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,3,0,33,0,0,0,0
173745,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,3,0,3,0,3,0,0
173748,1,0,0,0,1,1,1,1,0,1,0,1,2,1,2,2,0,3,0,11,0,10,0,0
173751,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,5,0,3,3,0
173754,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,5,33,0,0,0,0
173757,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173760,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,3,0,7,3,0
173763,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
173766,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,25,0,0,0,0
173769,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173772,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173775,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0
173778,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
173781,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0
173784,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,17,51,9,18,0
173787,1,0,0,1,0,1,1,1,0,1,0,2,2,0,2,2,0,0,0,3,0,18,0,0
173790,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,3,0,7,5,0
173793,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,5,3,7,8,0
173796,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,5,0,5,0,0
173799,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0
173802,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
173805,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,5,0,26,0,0
173808,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173811,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,3,0,5,0,30,0,0
173814,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0
173817,1,0,0,0,1,1,1,1,0,1,0,1,2,1,2,2,1,0,0,3,0,8,3,0
173820,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173823,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,3,0,5,5,0
173826,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,7,0,9,0,0,0,0
173829,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,5,0,3,0,0,0,0
173832,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173835,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,7,0,13,0,0
173838,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173841,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0
173844,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,7,0,3,3,0
173847,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,3,0,3,3,0
173850,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173853,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173856,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0
173859,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,3,0,3,0,5,0,0
173862,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
173865,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173868,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,5,0,9,3,0
173871,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,13,0,7,5,0
173874,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173877,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173880,1,1,1,0,0,1,1,1,1,1,1,1,2,0,2,2,2,3,0,5,14,13,8,0
173883,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173886,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173889,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
173892,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173895,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173898,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,3,0,7,0,7,0,0
173901,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
173904,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
173907,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173910,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173913,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,3,0,7,5,0
173916,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0
173919,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,3,0,11,0,0,0,0
173922,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173925,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,3,0,5,0,0,0,0
173928,1,1,1,0,0,1,1,1,1,1,1,1,2,0,2,2,1,0,0,7,64,18,9,0
173931,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173934,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
173937,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,28,0,0,0,0
173940,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,7,16,3,9,0
173943,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,3,0,15,0,18,0,0
173946,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,3,0,8,0,0
173949,1,0,0,0,1,1,1,1,0,1,0,1,2,1,2,2,1,3,0,7,0,20,3,0
173952,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173955,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,7,57,7,5,0
173958,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0
173961,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
173964,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0
173979,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,5,0,3,3,0
173982,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,5,0,3,0,0
173985,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,3,0,3,0,3,5,0
173988,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,3,0,5,0,3,0,0
173991,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173994,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173997,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,9,0,7,0,0
174000,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,3,0,3,0,24,0,0
174003,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174006,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
174009,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,11,0,7,3,0
174012,1,0,0,1,0,1,1,1,0,1,0,2,2,0,2,2,0,0,0,5,0,22,0,0
174015,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
174018,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,3,0,9,0,0
174021,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
174024,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,3,0,7,0,0,0,0
174027,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
174030,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,37,0,17,0,0
174033,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174036,1,1,1,0,0,1,1,1,1,1,1,1,2,0,2,2,1,0,0,9,24,5,5,0
174039,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,27,0,7,3,0
174042,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,3,5,7,14,0
174045,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,3,23,3,8,0
174048,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0
174051,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0
174054,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174057,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174060,1,1,1,0,0,1,1,1,1,1,1,5,6,0,6,6,1,0,0,3,7,56,28,0
174063,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174066,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174069,1,0,0,0,1,1,1,1,0,1,0,1,2,1,2,2,1,3,0,5,25,6,6,0
174072,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
174075,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
174078,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,7,0,7,3,0
174081,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174084,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,7,15,3,3,0
174087,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,3,0,7,3,0
174090,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,22,0,0,0,0
174093,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,3,0,22,0,0
174096,1,1,1,0,0,1,1,1,1,1,1,2,3,0,3,3,2,0,0,5,16,10,8,0
174099,1,1,1,0,0,1,1,1,1,1,1,1,2,0,2,2,1,0,0,7,0,14,3,0
174102,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0
174105,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,3,0,3,3,0
174108,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174111,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,3,0,5,0,0,0,0
174114,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
174117,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
174120,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,5,0,13,0,0,0,0
174123,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
174126,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
174129,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
174132,1,1,1,0,0,1,1,1,1,1,1,3,4,0,4,4,3,0,0,7,61,7,16,0
174135,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
174138,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,3,0,7,0,0,0,0
174141,1,1,1,0,0,1,1,1,1,1,1,1,2,0,2,2,1,0,0,5,0,6,3,0
174144,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,9,0,3,3,0
174147,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,32,0,0,0,0
174150,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,3,0,28,0,0,0,0
174153,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,15,0,7,3,0
174156,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174159,1,0,0,1,0,1,1,1,0,1,0,2,2,0,2,2,0,0,0,15,0,31,0,0
174162,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
174165,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174168,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,3,0,3,12,5,8,0
174171,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174174,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174177,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,24,0,0,0,0
174180,1,0,0,1,0,1,1,1,0,1,0,2,2,0,2,2,0,0,0,3,0,12,0,0
174183,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174186,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0
174189,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174192,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174195,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0
174198,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,3,0,9,0,0,0,0
174201,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,7,0,5,0,0,0,0
174204,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
174207,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,3,0,11,0,0,0,0
174210,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174213,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,3,0,13,0,0,0,0
174216,1,1,1,0,0,1,1,1,1,1,1,1,2,0,2,2,1,0,0,7,9,8,6,0
174219,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,5,0,3,0,0,0,0
174222,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174225,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174228,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
174231,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,5,0,3,0,0
